שם             	ענף בבורסה                                	כתובת                                      	טלפון       	פקס        	אתר הבית                       	דואר אלקטרוני                     	שם מלא                                      	מספר מנפיק	מספר תאגיד
ישראל קנדה     	ריאלי - נדלן ובינוי - נדלן ובינוי         	המנופים 2, הרצליה פיתוח                    	09-9549091  	09-9518005 	www.canada-israel.com          	guy@canada-israel.com             	ישראל קנדה (ט.ר) בעמ                        	434       	520039298
ישראמקו יהש    	ריאלי - חיפושי נפט וגז - חיפושי נפט וגז   	גרניט 8, קרית-אריה, פתח-תקוה               	03-9229225  	03-9229255 	                               	office@isramco.com                	ישראמקו נגב 2 שותפות מוגבלת                 	232       	550010003
ישרוטל         	ריאלי - מסחר ושרותים - מלונאות ותיירות    	בית התעשיה, המרד 29, תל-אביב               	03-5197777  	03-5104646 	www.isrotel.co.il              	yshvo@isrotel.co.il               	ישרוטל בעמ                                  	1032      	520042482
ישרס           	ריאלי - נדלן ובינוי - נדלן ובינוי         	בית ישרס, הר סיני 3, תל-אביב               	03-7130200  	03-5606955 	www.isras.co.il                	ilan@rassco.co.il                 	ישרס חברה להשקעות בעמ                       	613       	520017807
כהן פיתוח      	ריאלי - חיפושי נפט וגז - חיפושי נפט וגז   	קבוצת דלק, גיבורי ישראל 7, נתניה           	09-8638444  	09-8638577 	                               	yaelg@delek-group.com             	כהן פיתוח ומבני תעשיה בעמ                   	810       	520032970
כיטוב פארמה    	הייטק - ביומד - ביוטכנולוגיה              	ת.ד 48341, תל אביב                         	03-5750547  	03-5750568 	www.kitovpharma.com            	info@kitovpharma.com              	כיטוב פארמה החזקות בעמ                      	765       	520031238
כיל            	ריאלי - תעשיה - כימיה, גומי ופלסטיק       	מגדל המילניום, ארניא 23, תל-אביב           	03-6844412  	03-6844435 	www.icl-group.com              	lisah@icl-group.com               	כימיקלים לישראל בעמ                         	281       	520027830
כלכלית ירושלים 	ריאלי - נדלן ובינוי - נדלן ובינוי         	תוצרת הארץ 7, תל אביב                      	03-9070000  	03-9070090 	www.jec.co.il                  	igal@jec.co.il                    	כלכלית ירושלים בעמ                          	198       	520017070
כלל ביוטכנו    	הייטק - ביומד - השקעות במדעי החיים        	מגדל חוגי,אבא הלל סילבר12, רמת גן          	03-6121616  	03-6124545 	www.cbi.co.il                  	orit@cbi.co.il                    	כלל תעשיות ביוטכנולוגיה בעמ                 	1447      	511898835
כלל עסקי ביטוח 	פיננסי - ביטוח - ביטוח                    	ראול ולנברג 36, תל-אביב                    	03-6387575  	03-6397011 	www.clalbit.co.il              	hadarb@clal-ins.co.il             	כלל החזקות עסקי ביטוח בעמ                   	224       	520036120
כלל תעשיות     	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	מרכז עזריאלי,בנין משולש 3, תל-אביב         	03-6075794  	03-6075131 	www.cii.co.il                  	nufar.malovani@cii.co.il          	כלל תעשיות בעמ                              	608       	520021874
כללביט         	פיננסי - ביטוח - ביטוח                    	ראול ולנברג 36, תל אביב                    	03-6387575  	03-6397011 	                               	hadarb@clal-ins.co.il             	כללביט מימון בעמ                            	1324      	513754069
כלנית כרמון(ש) 	הייטק - טכנולוגיה - שרותי מידע            	העמל 1, ראש העין                           	09-9602222  	09-9602200 	www.calanit.com                	moseri@calanit.com                	כלנית כרמון שרותי תוכנה בעמ                 	355       	520038159
כן פייט ביופרמה	הייטק - ביומד - ביוטכנולוגיה              	ברקת 10, קרית מטלון, פתח-תקוה              	03-9241114  	03-9249378 	www.canfite.com                	motti@canfite.co.il               	כן פייט ביופרמה בעמ                         	1272      	512022153
כנפיים         	ריאלי - מסחר ושרותים - שרותים             	אבא הלל סילבר 12, רמת גן                   	03-6539999  	03-6539977 	                               	knafaim@knafaim.co.il             	כנפיים אחזקות בעמ                           	543       	520040700
כפרית          	ריאלי - תעשיה - כימיה, גומי ופלסטיק       	קיבוץ כפר עזה, דנ הנגב                     	08-6809845  	08-6809846 	www.kafrit.co.il               	kafrit@kafrit.co.il               	כפרית תעשיות (1993) בעמ                     	522       	520038787
כרמית          	ריאלי - תעשיה - מזון                      	ההגנה 25, ראשון-לציון                      	03-9637000  	03-9637001 	www.carmit.co.il               	inbal@carmit.co.il                	כרמית תעשיות ממתקים בעמ                     	440       	520039058
כרמל אולפינים  	ריאלי - תעשיה - כימיה, גומי ופלסטיק       	תד 1468, חיפה                              	04-8466911  	04-8457371 	www.caol.co.il                 	info@caol.co.il                   	כרמל אולפינים                               	1472      	511316903
כרמל אחזקות(ש) 	ריאלי - מסחר ושרותים - מסחר               	האצל 2, אזור תעשיה חדש, ראשון-לציון        	03-9081910  	03-9365005 	www.betili.com                 	ron@carmelcarpets.co.il           	כרמל אחזקות (אי.אל) בעמ                     	1044      	520043191
כתר            	ריאלי - תעשיה - עץ, נייר ודפוס            	תד 7145, ירושלים                           	02-6557822  	02-6536811 	                               	guy@keter-publish.co.il           	כתר הוצאה לאור בעמ                          	197       	520029521
לאומי          	פיננסי - בנקים - בנקים                    	בית לאומי, יהודה הלוי 34, תל-אביב          	076-8858111 	076-8859732	www.leumi.co.il                	yaelru@bll.co.il                  	בנק לאומי לישראל בעמ                        	604       	520018078
להב            	ריאלי - נדלן ובינוי - נדלן ובינוי         	מדינת היהודים 89, הרצליה                   	09-9527700  	09-8359108 	                               	chavazamir@gmail.com              	להב אל.אר רילאסטייט בעמ                     	136       	520034257
לודזיה         	ריאלי - נדלן ובינוי - נדלן ובינוי         	מרכז הטקסטיל, קויפמן 2, תל-אביב            	03-5171346  	03-5171345 	                               	yair@lodzia.com                   	לודזיה רוטקס השקעות בעמ                     	753       	520000779
לודן           	ריאלי - מסחר ושרותים - שרותים             	תד 3584, פתח-תקוה                          	03-9182000  	03-9182022 	www.ludan-group.com            	rome@ludan.co.il                  	לודן חברה להנדסה בעמ                        	1050      	520043381
לוי(ש)         	ריאלי - נדלן ובינוי - נדלן ובינוי         	חורב 30, חיפה                              	04-8344433  	04-8344439 	www.a-levi.co.il               	michalg@a-levy.co.il              	א.לוי השקעות ובנין בעמ                      	719       	520041096
לוינסקי עופר   	ריאלי - נדלן ובינוי - נדלן ובינוי         	היצירה 3, רמת גן                           	03-5001500  	03-5750780 	www.levinski-ofer.co.il        	jonathan@lbt.co.il                	לוינסקי עופר בעמ                            	200       	520036005
לוינשטין הנדסה 	ריאלי - נדלן ובינוי - נדלן ובינוי         	תד 36710, תל-אביב                          	03-7100200  	03-7100222 	www.levinstein.co.il           	ylotan@levinstein.co.il           	משולם לוינשטין הנדסה וקבלנות בעמ            	573       	520033424
לוינשטין נכסים 	ריאלי - נדלן ובינוי - נדלן ובינוי         	דרך מנחם בגין 23, תל אביב                  	03-7100200  	03-7100222 	www.levinstein.co.il           	ylotan@levinstein.co.il           	לוינשטין נכסים בעמ                          	1536      	511134298
ליבנטל         	ריאלי - נדלן ובינוי - נדלן ובינוי         	היצירה 3, רמת גן                           	03-6129988  	03-5750780 	                               	jonathan@lbt.co.il                	א.ליבנטל אחזקות בעמ                         	584       	520032947
ליברטי(ש)      	ריאלי - נדלן ובינוי - נדלן ובינוי         	בית הקרן, ביאליק 155, רמת גן               	03-7552900  	03-7552920 	                               	mazkirut@liberty.co.il            	ליברטי פרופרטיס בעמ                         	1117      	512073453
לידר השקעות    	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	בית פלטינום, ק' 18, הארבעה 21, תל-אביב     	03-6845500  	03-6845550 	www.leader.co.il               	leader@leader.co.il               	לידר החזקות והשקעות בעמ                     	318       	520037664
לידר שוקי הון  	פיננסי - שרותים פיננסיים - שרותים פיננסיים	הארבעה 21, תל אביב                         	03-6845757  	03-6853003 	www.leadercm.co.il             	lcminfo@leadercm.co.il            	לידר שוקי הון בעמ                           	1307      	513773564
ליטו גרופ (ש)  	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	מתחם צינורות המזרח התיכון, עכו             	04-6661900  	04-6363110 	www.litogroup.co.il            	yamit@litogroup.com               	ליטו גרופ בעמ                               	62        	520041534
לייבפרסון      	הייטק - טכנולוגיה - תוכנה ואינטרנט        	זרחין 13, רעננה                            	074-7004001 	03-7254638 	www.liveperson.com             	ilinvestors@liveperson.com        	לייבפרסון, אינק.                            	1579      	0
לייטסטון       	ריאלי - נדלן ובינוי - נדלן ובינוי         	                                           	            	           	                               	                                  	לייטסטון אנטרפרייזס לימיטד                  	1630      	0
לכיש           	ריאלי - תעשיה - מתכת ומוצרי בניה          	אזור תעשיה חדש, תד 105, שדרות              	08-6891121  	08-6899147 	www.lachish.com                	gershon@lachish.com               	תעשיות לכיש בעמ                             	826       	520033317
לפידות         	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	תד 17106, תל-אביב                          	03-6417241  	03-6417246 	www.lapidoth.co.il             	lapidoth@lapidoth.co.il           	לפידות חברת מחפשי נפט לישראל בעמ            	642       	520022971
לפידות חלץ יהש 	ריאלי - חיפושי נפט וגז - חיפושי נפט וגז   	ברודצקי 19, תל-אביב                        	03-6417241  	03-6417246 	www.lapidoth.co.il             	lapidoth@lapidoth.co.il           	לפידות-חלץ - שותפות מוגבלת                  	1216      	550217129
מבטח שמיר      	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	מגדל אור A, הברזל 27, תל-אביב              	03-7684949  	03-6442099 	                               	limor@msgroup.co.il               	מבטח שמיר אחזקות בעמ                        	127       	520034125
מבני תעשיה     	ריאלי - נדלן ובינוי - נדלן ובינוי         	תוצרת הארץ 7, תל אביב                      	03-9070000  	03-9070190 	www.building.co.il             	info@building.co.il               	מבני תעשיה בעמ                              	226       	520024126
מגדל ביטוח     	פיננסי - ביטוח - ביטוח                    	אפעל 4, פתח-תקוה                           	076-8868962 	03-9238988 	www.migdal.co.il               	migdalhold@migdal.co.il           	מגדל אחזקות ביטוח ופיננסים בעמ              	1041      	520029984
מגדלי ים תיכון 	ריאלי - נדלן ובינוי - נדלן ובינוי         	שדרות אבא אבן 8, הרצליה פיתוח              	073-2266411 	073-2266410	www.migdalei.co.il             	info@meditowers.co.il             	מגדלי הים התיכון                            	1614      	512719485
מגה אור        	ריאלי - נדלן ובינוי - נדלן ובינוי         	בית מגה אור, מושב שילת                     	08-9744880  	08-9744898 	                               	megaor@megaor.co.il               	מגה אור החזקות בעמ                          	1450      	513257873
מג'יק          	הייטק - טכנולוגיה - תוכנה ואינטרנט        	הפלדה 5, אזור תעשיה חדש, אור יהודה         	03-5389292  	03-5389393 	www.magicsoftware.com          	abirk@magicsoftware.com           	מג'יק תעשיות תכנה בעמ                       	2026      	520036740
מדטכניקה       	ריאלי - מסחר ושרותים - מסחר               	התנופה 7,בית קודאק, א.ת קרית אריה,ח-תקוה   	03-9254040  	03-9385809 	www.medtechnica.co.il          	andrea@medtechnica.co.il          	מדטכניקה בעמ                                	253       	520036195
מדיגוס         	הייטק - ביומד - מכשור רפואי               	תד 3030, עומר                              	08-6466880  	08-6466770 	www.medigus.com                	oded@medigus.com                  	מדיגוס בעמ                                  	1311      	512866971
מדיוי תראפיוטיק	הייטק - ביומד - מכשור רפואי               	דרך ירושלים 34, רעננה                      	09-7722880  	09-7724686 	www.medivie.com                	josh@medivie.com                  	מדיוי תראפיוטיק בעמ                         	1562      	512714221
מדיפאואר (ש)   	ריאלי - נדלן ובינוי - נדלן ובינוי         	שטיינמץ,הרינג,מנחם בגין23, תל אביב         	03-5670100  	03-5670101 	www.medipowergroup.com         	ron@medipowergroup.com            	מדיפאואר (אוורסיז) לימיטד                   	1433      	0
מדיקל קומפרישין	הייטק - ביומד - מכשור רפואי               	האילן 12, אור עקיבא                        	04-6266630  	04-6266640 	www.mcsmed.com                 	avital@mcsmed.com                 	מדיקל קומפרישין סיסטם (די.בי.אן.) בעמ       	1318      	512565730
מהדרין         	ריאלי - נדלן ובינוי - נדלן ובינוי         	פאואר סנטר 1, בארות יצחק                   	03-9371300  	03-9371303 	www.mtex.co.il                 	amaliao@mehadrin.co.il            	מהדרין בעמ                                  	686       	520018482
מובייל מקס     	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	עוד אלי גור, מנחם בגין 7, רמת גן           	054-4687834 	03-6138585 	                               	gamihood@gmail.com                	מובייל מקס טכנולוגיות בעמ                   	1465      	513952499
מודיעין יהש    	ריאלי - חיפושי נפט וגז - חיפושי נפט וגז   	מרכז עזריאלי 3,מגדל משולש, תל אביב         	03-6075155  	03-6075684 	www.modiin-energy.com          	office@modiin-energy.com          	מודיעין אנרגיה - שותפות מוגבלת              	345       	550012405
מזור רובוטיקה  	הייטק - ביומד - מכשור רפואי               	האשל 7, קיסריה                             	04-6187101  	04-6187111 	www.mazorrobotics.com          	sharon.levita@mazorrobotics.com   	מזור רובוטיקה בעמ                           	1487      	513009043
מזרחי טפחות    	פיננסי - בנקים - בנקים                    	ז'בוטינסקי 7, רמת-גן                       	03-7559207  	03-7559913 	www.mizrahi-tefahot.co.il      	mangment@umtb.co.il               	בנק מזרחי טפחות בעמ                         	695       	520000522
מזרחי טפחות הנפ	פיננסי - בנקים - בנקים                    	ז'בוטינסקי 7, רמת גן                       	03-7559017  	03-7559195 	                               	saadiaa@umtb.co.il                	מזרחי טפחות חברה להנפקות בעמ                	231       	520032046
מטי            	הייטק - טכנולוגיה - אלקטרוניקה ואופטיקה   	המלאכה 11, אזור תעשיה חדש, ראש-העין        	03-9008900  	03-9008901 	www.mti-group.co.il            	moni_b@mti-group.co.il            	מ.ט.י. מחשבים ושירותי תכנה (1982) בעמ       	669       	520040981
מטעי הדר       	ריאלי - נדלן ובינוי - נדלן ובינוי         	אבן גבירול 68, תל-אביב                     	03-6916287  	03-6957391 	                               	dorit@benezer.co.il               	י.ס.פ. מטעי הדר ישראל בעמ                   	716       	520022369
מטריקס         	הייטק - טכנולוגיה - שרותי מידע            	אבא אבן 3, הרצליה                          	09-9598810  	09-9598050 	www.matrix.co.il               	yifatg@matrix.co.il               	מטריקס אי.טי בעמ                            	445       	520039413
מטרת מיזוג(ש)  	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	אצל אפסווינג,ז'בוטינסקי 7, רמת גן          	03-6114922  	03-6114923 	                               	yaron@upswing.co.il               	מטרת מיזוג חברות בעמ                        	1091      	511418477
מידאס השקעות   	ריאלי - נדלן ובינוי - נדלן ובינוי         	ראול וולנברג 2, תל אביב                    	03-7684150  	03-7684153 	                               	avishay@mydas.co.il               	קרן מידאס השקעות בעמ                        	544       	520039496
מיחשוב ישיר קב 	הייטק - טכנולוגיה - שרותי מידע            	העמל 1, פארק אפק, ראש העין                 	03-9767529  	03-9767544 	www.one1.co.il                 	dinaa@granot.co.il                	קבוצת מיחשוב ישיר בעמ                       	507       	520040007
מיטב דש השקעות 	פיננסי - שרותים פיננסיים - שרותים פיננסיים	ששת הימים 30, בני ברק                      	03-7903000  	03-5169001 	www.meitavdash.co.il           	liat.david@meitavdash.co.il       	מיטב דש השקעות בעמ                          	1064      	520043795
מיטרוניקס      	הייטק - טכנולוגיה - אלקטרוניקה ואופטיקה   	קיבוץ יזרעאל, ד.נ. יזרעאל                  	04-6598111  	04-6522485 	www.maytronics.com             	menima@maytronics.com             	מיטרוניקס בעמ                               	1212      	511527202
מיי סייז       	הייטק - טכנולוגיה - תוכנה ואינטרנט        	התדהר 16, רעננה                            	09-7442440  	09-7442446 	                               	uri@cfo.co.il                     	מיי סייז, אינק.(חברה זרה)                   	1268      	0
מיינסטרים      	פיננסי - שרותים פיננסיים - שרותים פיננסיים	יהודה לוי 48, תל אביב                      	03-5650100  	03-5650121 	www.peninsula.co.il            	michaels@peninsula.co.il          	מיינסטרים החזקות בעמ                        	333       	520033713
מיקרומדיק      	הייטק - ביומד - השקעות במדעי החיים        	ביו לייט, קרית עתידים 3, תל אביב           	073-2753450 	073-2753451	www.m-medic.com                	itai@m-medic.com                  	מיקרומדיק טכנולוגיות בעמ                    	433       	520039181
מיקרונט        	הייטק - טכנולוגיה - ציוד תקשורת           	המצודה 27, אזור                            	03-5584884  	03-5584885 	www.micronet-inc.com           	guy.elhanani@micronet-inc.com     	מיקרונט בעמ                                 	1370      	510930787
מירלנד         	ריאלי - נדלן ובינוי - נדלן ובינוי         	שטיינמץ,הרינג,מנחן בגין23, תל אביב         	03-5670100  	03-5670101 	www.mirland-development.com    	office@mirland-development.com    	מירלנד דיוולופמנט קורפריישן פי אל סי        	1502      	0
מישורים חברה פת	ריאלי - נדלן ובינוי - נדלן ובינוי         	השילוח 4, פתח תקוה                         	03-7217800  	03-7217801 	www.mishorim.com               	rami@mishorim.com                 	מישורים חברה לפיתוח בעמ                     	1467      	511491839
מלונות הכשרה   	ריאלי - מסחר ושרותים - מלונאות ותיירות    	קריניצי 1, רמת-גן                          	03-6754555  	03-7962226 	www.rimonim.com                	zohar@ildc.co.il                  	מלונות הכשרת הישוב בעמ                      	343       	520029034
מליבו אינווסט. 	ריאלי - נדלן ובינוי - נדלן ובינוי         	אצל מליבו ישראל,הארבעה 21, תל אביב         	03-6803508  	03-6803590 	www.malibutoronto.com          	poli@malibu.co.il                 	מליבו אינווסטמנטס                           	1378      	0
מליסרון        	ריאלי - נדלן ובינוי - נדלן ובינוי         	בית מרכזים 2001,אבא אבן 1, הרצליה פיתוח    	09-9525555  	09-9540893 	www.melisron.co.il             	info@melisron.co.il               	מליסרון בעמ                                 	323       	520037789
מלם תים        	הייטק - טכנולוגיה - שרותי מידע            	מרטין גהל 7, קרית-אריה, פתח-תקוה           	03-9278300  	03-9278203 	www.malamteam.com              	toker@malamteam.com               	מלם-תים בעמ                                 	156       	520034620
ממן            	ריאלי - מסחר ושרותים - שרותים             	תד 58, נמל תעופה בן-גוריון                 	03-9715300  	03-9721733 	www.maman.co.il                	maman@maman.co.il                 	ממן-מסופי מטען וניטול בעמ                   	238       	520036435
מנדלסון תשתיות 	ריאלי - מסחר ושרותים - מסחר               	דרך מנחם בגין 125, ק' 28, תל אביב          	03-7362511  	03-7362505 	www.iml.co.il                  	yair@imendelson.co.il             	מנדלסון תשתיות ותעשיות בעמ                  	1247      	513660373
מנורה מב הון   	פיננסי - ביטוח - ביטוח                    	אלנבי 115, תל אביב                         	03-7107801  	03-7107633 	                               	katzy@menora.co.il                	מנורה מבטחים גיוס הון בעמ                   	1431      	513937714
מנורה מב החזקות	פיננסי - ביטוח - ביטוח                    	אלנבי 115, תל-אביב                         	03-7107801  	03-7107633 	www.menoramivt.co.il           	shimoni@menora.co.il              	מנורה מבטחים החזקות בעמ                     	566       	520007469
מנרב           	ריאלי - נדלן ובינוי - נדלן ובינוי         	הבושם 3, אזור תעשיה, אשדוד                 	08-8516262  	08-8521295 	www.minrav.co.il               	holdings@minrav.co.il             	מנרב אחזקות בעמ                             	155       	520034505
מעברות         	ריאלי - תעשיה - מזון                      	                                           	09-8984101  	09-8985590 	www.maabarot.co.il             	mainoffice@maabarot.com           	מוצרי מעברות בעמ                            	528       	520039488
מעיינות טמדא   	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	הלחי 19, בני ברק                           	03-5777989  	03-5781499 	                               	gilad@meyeden.co.il               	מעיינות טמדא בעמ                            	404       	520037961
מעין ונצ'ורס(ש)	הייטק - טכנולוגיה - השקעות בהייטק         	אלומות 12, פארק תעשיה, עומר                	08-6255888  	08-6466870 	www.myv.co.il                  	info@myv.co.il                    	מעין ונצ'ורס בעמ                            	1286      	512420647
מצלאוי         	ריאלי - נדלן ובינוי - נדלן ובינוי         	משה אביב 1, אור יהודה                      	03-5339212  	03-5338437 	www.maslavi.co.il              	maslavi@netvision.net.il          	מצלאוי חברה לבניה בעמ                       	1484      	512726712
מקסימה         	ריאלי - תעשיה - כימיה, גומי ופלסטיק       	אזור תעשיה צפוני 10, אשדוד                 	073-2188666 	073-2188766	www.maxima.co.il               	inbal@maxima.co.il                	מקסימה המרכז להפרדת אויר בעמ                	134       	520034232
מר             	ריאלי - תעשיה - חשמל                      	הצורף 5, אזור תעשיה, חולון                 	03-5572555  	03-5567904 	www.mer-group.com              	segev-h@mer.co.il                 	ח.מר תעשיות בעמ                             	338       	520037805
מרחביה אחזקות  	ריאלי - נדלן ובינוי - נדלן ובינוי         	אצל ארם עורכי דין, כנרת 5, בני ברק         	03-5788770  	077-4701479	                               	earad01@gmail.com                 	מרחביה אחזקות והשקעות בעמ                   	257       	520036724
משאבי טבע      	ריאלי - השקעה ואחזקות - השקעה ואחזקות     	רונן ציטבר,דרך מנחםבגין7, רמת גן           	03-6088982  	03-6088988 	www.nrh.co.il                  	eran@nrh.co.il                    	משאבי טבע הולדינגס בעמ                      	60        	520041526
נאוסיטי        	ריאלי - נדלן ובינוי - נדלן ובינוי         	כורזין 1, גבעתיים                          	03-5712525  	03-5712527 	www.neocitygroup.com           	neocitygroup@neocitygroup.com     	קבוצת נאוסיטי להשקעות ואחזקות בעמ           	1408      	513904367
נאנט נדלן      	ריאלי - נדלן ובינוי - נדלן ובינוי         	אתגר שירותים, מוטה גור 7, פתח תקוה         	03-3732373  	073-2622665	www.nreg.nl                    	ran@nreg.nl                       	נאנט רייל אסטייט גרופ אן.וי                 	1255      	0
נדלנס'         	ריאלי - נדלן ובינוי - נדלן ובינוי         	שוהם 4, רמת גן                             	03-5754234  	03-5754233 	                               	queeny@queeny.co.il               	נדלנס' בעמ                                  	564       	520034604
נובה           	הייטק - טכנולוגיה - מוליכים למחצה         	תד 266, רחובות                             	073-2295600 	08-9407776 	www.nova.co.il                 	info@nova.co.il                   	נובה מכשירי מדידה בעמ                       	2177      	511812463
נורסטאר החזקות 	ריאלי - נדלן ובינוי - נדלן ובינוי         	עוד ברנדויין,אבא הלל סילבר 16, רמת-גן      	03-6103100  	03-6103111 	                               	meitar@meitar.co.il               	נורסטאר החזקות אינק (חברה זרה)              	723       	0
נטו אחזקות     	ריאלי - תעשיה - מזון                      	האומן 5, אזור תעשיה, קרית-מלאכי            	08-8608585  	08-8503086 	www.neto.org.il                	ora@em-neto.co.il                 	נטו מ.ע. אחזקות בעמ                         	168       	520034109
נטו מלינדה     	ריאלי - מסחר ושרותים - מסחר               	מאיר עזרא 5, קריית מלאכי                   	08-8608500  	08-8503086 	www.neto.org.il                	ora@em-neto.co.il                 	נטו מלינדה סחר בעמ                          	1463      	511725459
ניו הוריזון(ש) 	ריאלי - נדלן ובינוי - נדלן ובינוי         	מנחם בגין 7, קומה 27, רמת גן               	03-7549599  	03-7549588 	                               	udi.lux@ozatid.com                	ניו הוריזון גרופ בעמ                        	397       	520038639
נייס           	הייטק - טכנולוגיה - תוכנה ואינטרנט        	זרחין 22, רעננה                            	09-7753777  	09-7437446 	www.nice.com                   	info@nice.com                     	נייס סיסטמס בעמ                             	273       	520036872
נייר חדרה      	ריאלי - תעשיה - עץ, נייר ודפוס            	אזור תעשיה, תד 142, חדרה                   	04-6349405  	04-6339740 	www.hadera-paper.co.il         	yaeln@hadera-paper.co.il          	נייר חדרה בעמ                               	632       	520018383
ניסן           	ריאלי - תעשיה - עץ, נייר ודפוס            	הרוגי המלכות 11, תל-אביב                   	03-6471615  	03-6470293 	www.nissan-medical.co.il       	yossi@nissan-medical.co.il        	ניסן תעשיות רפואיות בעמ                     	660       	520040940
ניסקו חשמל     	ריאלי - מסחר ושרותים - מסחר               	המעיין 41, מודיעין                         	072-2400600 	072-2400855	www.niskoelec.com              	dudu.levi@niskoelec.com           	ניסקו חשמל ואלקטרוניקה בעמ                  	1429      	510928237
ניסקו תעשיות   	ריאלי - מסחר ושרותים - מסחר               	תד 13180, תל-אביב                          	03-7657106  	03-7657111 	www.niskoardan.com             	maxim@niskoardan.com              	ניסקו תעשיות (1992) בעמ                     	488       	520039801
נכסים ובנין    	ריאלי - נדלן ובינוי - נדלן ובינוי         	יגאל אלון 98, תל-אביב                      	03-5672777  	03-5672776 	www.pbc.co.il                  	admin@pbc.co.il                   	חברה לנכסים ולבנין בעמ                      	699       	520025438
ננו דיימנשן    	הייטק - טכנולוגיה - אלקטרוניקה ואופטיקה   	גולדה מאיר 3, נס ציונה                     	073-7509142 	073-7509421	www.nano-di.com                	contact@nano-di.com               	ננו דיימנשן בעמ                             	751       	520029109
נעמן           	ריאלי - מסחר ושרותים - מסחר               	הרב שלום שבזי 26, ראש העין                 	073-2111710 	073-2111780	www.naamanp.co.il              	naamanp@naaman-group.co.il        	נעמן גרופ (נ.ו) בעמ                         	1085      	520044389
נפטא           	ריאלי - חיפושי נפט וגז - חיפושי נפט וגז   	גרניט 8, קרית-אריה, פתח-תקוה               	03-9228225  	03-9229255 	                               	office@isramco.com                	נפטא חברה ישראלית לנפט בעמ                  	643       	520020942
נפטא חיפוש     	ריאלי - חיפושי נפט וגז - חיפושי נפט וגז   	גרניט 8, קרית-אריה, פתח-תקוה               	03-9229225  	03-9229255 	                               	office@isramco.com                	נפטא חיפושים - שותפות מוגבלת                	274       	550011373
נץ ארהב        	ריאלי - נדלן ובינוי - נדלן ובינוי         	אצל נץ, דרך מנחם בגין 125, תל אביב         	03-7362511  	03-7362505 	                               	rinat@netzgroup.com               	נץ ארהב (ח.י) בעמ                           	516       	520040163
נץ מלונות      	ריאלי - מסחר ושרותים - מלונאות ותיירות    	נץ בונדס,דרך מנחם בגין125, תל אביב         	03-7362511  	03-7362505 	                               	netzbonds@gmail.com               	נץ מלונות בעמ                               	666       	520040965
נצבא           	ריאלי - נדלן ובינוי - נדלן ובינוי         	גרניט 8, פתח-תקוה                          	073-2333900 	073-2333999	                               	laniado@nitsba.co.il              	נצבא החזקות 1995 בעמ                        	1043      	520043159
נקסט ג'ן       	הייטק - ביומד - ביוטכנולוגיה              	קפיטל פוינט,מנחם בגין 132, תל אביב         	03-6070320  	03-6070323 	                               	olga@capitalpoint.co.il           	נקסט ג'ן ביומד בעמ                          	1092      	520044470
נקסטקום        	ריאלי - מסחר ושרותים - שרותים             	כפר יהושע 36, כפר יהושע                    	073-2320200 	04-9830797 	www.nextcom1.com               	info@nextcomgroup.com             	נקסטקום בעמ                                 	1298      	511687568
נתנאל גרופ     	ריאלי - נדלן ובינוי - נדלן ובינוי         	סוקולוב 48, חולון                          	03-5059998  	03-5012276 	www.netanel.co.il              	dani@netanel.co.il                	נתנאל גרופ בעמ                              	421       	520039074
סאטקום מערכות  	ריאלי - מסחר ושרותים - תקשורת ומדיה       	יגיע כפיים 21, פתח-תקוה                    	03-9255000  	03-9217938 	www.gilat.net                  	info@gilat.net                    	סאטקום מערכות בעמ                           	1006      	520041674
סאמיט          	ריאלי - נדלן ובינוי - נדלן ובינוי         	אנדרי סחרוב 3, חיפה                        	04-8408091  	04-8408092 	www.smt.co.il                  	amirs@smt.co.il                   	סאמיט אחזקות נדלן בעמ                       	1060      	520043720
סאני(ש)        	ריאלי - מסחר ושרותים - תקשורת ומדיה       	עוד גיא גיסין, הברזל 38, תל אביב           	03-7467777  	03-7467700 	                               	office@gissinlaw.co.il            	סאני אלקטרוניקה בעמ                         	555       	520040759
סאנפלאואר      	הייטק - טכנולוגיה - קלינטק                	מנחם בגין 11, רמת גן                       	03-3770011  	03-7524457 	www.sunflower-sit.com          	orly@sunflower-sit.com            	סאנפלאואר השקעות מתחדשות בעמ                	1062      	520043597
סאפיינס        	הייטק - טכנולוגיה - תוכנה ואינטרנט        	הרוקמים 26, עזריאלי סנטר, חולון            	03-7902000  	03-7902942 	www.sapiens.com                	info@sapiens.com                  	סאפיינס אינטרנשיונל קורפוריישן N.V          	1146      	0
סוהו נדלן      	ריאלי - נדלן ובינוי - נדלן ובינוי         	ספיר 7, הרצליה                             	03-6761397  	03-6761297 	www.malrag.co.il               	office@malrag.co.il               	סוהו נדלן בעמ                               	1279      	511474629
סומוטו         	הייטק - טכנולוגיה - תוכנה ואינטרנט        	תד 58096, תל אביב                          	03-6495688  	03-9008664 	www.somotoinc.com              	ben@somotoinc.com                 	סומוטו לימיטד                               	1607      	0
